,gameid,date,blue_team,blue_top,blue_jg,blue_mid,blue_adc,blue_supp,red_team,red_top,red_jg,red_mid,red_adc,red_supp,winner
0,ESPORTSTMNT01_2700815,2022-01-12 06:20:03,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Liiv SANDBOX,Dove,Croco,Clozer,Envyy,Kael,Red
1,ESPORTSTMNT01_2690695,2022-01-12 09:02:13,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Liiv SANDBOX,Dove,Croco,Clozer,Envyy,Kael,Red
2,ESPORTSTMNT01_2690705,2022-01-12 10:07:10,T1,Zeus,Oner,Faker,Gumayusi,Keria,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,Blue
3,ESPORTSTMNT01_2690725,2022-01-12 11:49:28,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
4,ESPORTSTMNT01_2701248,2022-01-13 06:51:40,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
5,ESPORTSTMNT01_2701277,2022-01-13 08:53:53,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Blue
6,ESPORTSTMNT01_2701282,2022-01-13 09:50:33,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Red
7,ESPORTSTMNT01_2701289,2022-01-13 10:51:13,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,DWG KIA,HOYA,Canyon,ShowMaker,deokdam,Kellin,Red
8,ESPORTSTMNT01_2701333,2022-01-13 12:51:51,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,DWG KIA,HOYA,Canyon,ShowMaker,deokdam,Kellin,Red
9,ESPORTSTMNT01_2691507,2022-01-14 07:15:41,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
10,ESPORTSTMNT01_2691515,2022-01-14 08:42:06,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Blue
11,ESPORTSTMNT01_2691518,2022-01-14 09:32:22,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,T1,Zeus,Oner,Faker,Gumayusi,Keria,Blue
12,ESPORTSTMNT01_2691546,2022-01-14 11:51:26,T1,Zeus,Oner,Faker,Gumayusi,Keria,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Blue
13,ESPORTSTMNT01_2691557,2022-01-14 13:00:25,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
14,ESPORTSTMNT01_2701941,2022-01-15 07:01:59,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Peter,Liiv SANDBOX,Dove,Croco,Clozer,Envyy,Kael,Blue
15,ESPORTSTMNT01_2701966,2022-01-15 08:40:17,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Peter,Liiv SANDBOX,Dove,Croco,Clozer,Envyy,Kael,Blue
16,ESPORTSTMNT01_2701968,2022-01-15 09:32:02,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Red
17,ESPORTSTMNT01_2701997,2022-01-15 11:43:59,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Hoit,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Red
18,ESPORTSTMNT01_2702254,2022-01-16 06:26:21,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
19,ESPORTSTMNT01_2702297,2022-01-16 08:43:53,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Blue
20,ESPORTSTMNT01_2702309,2022-01-16 09:46:53,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
21,ESPORTSTMNT01_2702317,2022-01-16 10:43:37,DWG KIA,HOYA,Canyon,ShowMaker,deokdam,Kellin,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Blue
22,ESPORTSTMNT01_2702340,2022-01-16 12:24:56,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,DWG KIA,HOYA,Canyon,ShowMaker,deokdam,Kellin,Blue
23,ESPORTSTMNT01_2692264,2022-01-16 13:39:12,DWG KIA,HOYA,Canyon,ShowMaker,deokdam,Kellin,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
24,ESPORTSTMNT01_2693789,2022-01-19 06:44:22,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Peter,DWG KIA,HOYA,Canyon,ShowMaker,deokdam,Kellin,Blue
25,ESPORTSTMNT01_2703805,2022-01-19 08:47:41,DWG KIA,Burdol,Canyon,ShowMaker,deokdam,Kellin,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Peter,Blue
26,ESPORTSTMNT01_2703811,2022-01-19 09:54:42,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Peter,DWG KIA,Burdol,Canyon,ShowMaker,deokdam,Kellin,Blue
27,ESPORTSTMNT01_2693854,2022-01-19 11:06:38,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,Blue
28,ESPORTSTMNT01_2693886,2022-01-19 12:43:18,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,KT Rolster,Rascal,Cuzz,Aria,Aiming,Life,Red
29,ESPORTSTMNT01_2704285,2022-01-20 06:11:55,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
